dimension,num_prod,run,iters_to_NE,NE
10,90,8,25,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,9,23,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,10,34,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,11,28,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,12,41,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,13,26,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,14,38,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,15,31,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,16,32,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,17,28,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,18,33,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,90,19,35,[13. 16. 10.  7.  0.  8. 18.  5.  7.  6.]
10,100,0,25,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,1,32,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,2,35,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,3,41,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,4,36,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,5,35,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,6,34,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,7,37,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,8,44,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,9,40,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,10,40,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,11,32,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,12,43,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
10,100,13,37,[14. 18. 11.  8.  0.  9. 20.  5.  8.  7.]
